case	Upstream priority	Upstream target	Upstream owner	Tested feature
test/test_indexing.py	P1			op
test/test_jit.py	P4			jit
test/test_jit_fuser_te.py	P4			jit
test/test_jit_llga_fuser.py	P4			jit
test/test_jiterator.py	P4			jit
test/test_legacy_vmap.py	P3			op
test/test_linalg.py	P1			op
test/test_masked.py	P1			op
test/test_maskedtensor.py	P1			op
test/test_content_store.py	P2			op
test/test_meta.py	P1			op
test/test_modules.py	P1			op
test/test_matmul_cuda.py	P2			op
test/test_nestedtensor.py	P2			op
test/test_numpy_interop.py	P3			op
test/test_ops.py	P1			op
test/test_ops_fwd_gradients.py	P2			op
test/test_ops_gradients.py	P1			op
test/test_ops_jit.py	P4			op
test/test_optim.py	P1			op
test/test_prims.pyco	P2			op
test/test_public_bindings	P3			op
test/test_pytree.py	P3			op
test/test_quantization.py	P2			op
test/test_scatter_gather_ops.py	P1			op
test/test_schema_check.py	P3			op
test/test_segment_reductions.py	P1			op
test/test_serialization.py	P3			op
test/test_shape_ops.py	P2			op
test/test_sparse.py	P2			op
test/test_sparse_csr.py	P2			op
test/test_sparse_semi_structured.py	P2			op
test/test_sympy_utils.py	P3			op
test/test_testing.py	P3			op
test/test_type_promotion.py	P2			op
test/test_typing.py	P3			op
test/test_unary_ufuncs.py	P1			op
test/test_utils_config_module.py	P3			op
test/test_view_ops.py	P1			op
test/torch_np/test_nep50_examples.py	P2			torch_np
tools/dynamo/verify_dynamo.py	P1			dynamo
inductor/test_max_autotune 				
python benchmarks/dynamo/timm_models.py --device cuda --accuracy --amp \				benchmark
    --training --inductor --disable-cudagraphs --only vit_base_patch16_224 \				
"    --output ""$TEST_REPORTS_DIR/inductor_cpp_wrapper_training.csv"""				
python benchmarks/dynamo/torchbench.py --device cuda --accuracy \				benchmark
"      --bfloat16 --inference --inductor --only hf_T5 --output ""$TEST_REPORTS_DIR/inductor_cpp_wrapper_inference.csv"""				
python benchmarks/dynamo/torchbench.py --device cuda --accuracy \				benchmark
"      --bfloat16 --inference --inductor --only llama --output ""$TEST_REPORTS_DIR/inductor_cpp_wrapper_inference.csv"""				
python benchmarks/dynamo/torchbench.py --device cuda --accuracy \				benchmark
"      --bfloat16 --inference --inductor --only moco --output ""$TEST_REPORTS_DIR/inductor_cpp_wrapper_inference.csv"""				
test_jit_legacy 	P4			jit
test_jit_fuser_legacy	P4			jit
"OMP_NUM_THREADS=2 TORCH_CPP_TEST_MNIST_PATH=""${MNIST_DIR}"" ""$TORCH_BIN_DIR""/test_api --gtest_filter='-IMethodTest.*' --gtest_output=xml:$TEST_REPORTS_DIR/test_api.xml"	P4			cpp
python test/run_test.py --cpp --verbose -i cpp/test_tensorexpr	P4			cpp
python test/run_test.py --cpp --verbose -i cpp/static_runtime_test	P4			cpp
LTC_TS_CUDA=1 python test/run_test.py --cpp --verbose -i cpp/test_jit cpp/test_lazy	P4			cpp
"CPP_TESTS_DIR=""${TORCH_BIN_DIR}"" python test/run_test.py --cpp --verbose -i cpp/test_mobile_nnc"	P4			cpp
source test/mobile/nnc/test_aot_compile.sh	P4			mobile
python test_custom_ops.py -v				op
  python model.py --export-script-module=model.pt				op
  build/test_custom_ops ./model.pt				op
python test_custom_backend.py -v				op
  python backend.py --export-module-to=model.pt				op
  build/test_custom_backend ./model.pt				op
  python bench.py -n 1 -m 2				benchmark
  python pyspybench.py Tensor -n 1				benchmark
  python pyspybench.py SubTensor -n 1				benchmark
  python pyspybench.py WithTorchFunction -n 1				benchmark
  python pyspybench.py SubWithTorchFunction -n 1				benchmark
pytest benchmarks/fastrnns/test_bench.py --benchmark-sort=Name --benchmark-json=${BENCHMARK_DATA}/fastrnns_default.json --fuser=default --executor=default				benchmark
    pytest benchmarks/fastrnns/test_bench.py --benchmark-sort=Name --benchmark-json=${BENCHMARK_DATA}/fastrnns_legacy_old.json --fuser=old --executor=legacy				benchmark
    pytest benchmarks/fastrnns/test_bench.py --benchmark-sort=Name --benchmark-json=${BENCHMARK_DATA}/fastrnns_profiling_te.json --fuser=te --executor=profiling				benchmark
python benchmarks/upload_scribe.py --pytest_bench_json ${BENCHMARK_DATA}/fastrnns_default.json				benchmark
      python benchmarks/upload_scribe.py --pytest_bench_json ${BENCHMARK_DATA}/fastrnns_legacy_old.json				benchmark
      python benchmarks/upload_scribe.py --pytest_bench_json ${BENCHMARK_DATA}/fastrnns_profiling_te.json				benchmark
test/distributed/_composable/fsdp/test_fully_shard_clip_grad_norm_.py	P1	2.9	Xiangdong	distributed
test/distributed/_composable/fsdp/test_fully_shard_comm.py	P1	2.9	Xiangdong	distributed
test/distributed/_composable/fsdp/test_fully_shard_compile.py	P1	2.9	Xiangdong	distributed
test/distributed/_composable/fsdp/test_fully_shard_frozen.py	P1	2.9	Xiangdong	distributed
test/distributed/_composable/fsdp/test_fully_shard_mixed_precision.py	P1	2.9	Xiangdong	distributed
test/distributed/_composable/fsdp/test_fully_shard_state_dict.py	P1	2.9	Xiangdong	distributed
test/distributed/_composable/fsdp/test_fully_shard_training.py	P1	2.9	Xiangdong	distributed
test/distributed/_composable/test_checkpoint.py	P1	2.9	Xiangdong	distributed
test/distributed/_composable/test_composability/test_2d_composability.py	P1	2.9	Xiangdong	distributed
test/distributed/_composable/test_composability/test_pp_composability.py	P1	2.9	Xiangdong	distributed
test/distributed/_composable/test_contract.py	P1	2.9	Xiangdong	distributed
test/distributed/_composable/test_replicate_with_compiler.py	P1	2.9	Xiangdong	distributed
test/distributed/_shard/sharded_tensor/test_logger.py	P1	2.9	Libo	distributed
test/distributed/_shard/sharded_tensor/test_sharded_tensor.py	P1	2.9	Libo	distributed
test/distributed/_shard/sharded_tensor/test_sharded_tensor_reshard.py	P1	2.9	Libo	distributed
test/distributed/_shard/sharding_plan/test_sharding_plan.py	P1	2.9	Libo	distributed
test/distributed/_shard/sharding_spec/test_sharding_spec.py	P1	2.9	Libo	distributed
test/distributed/_tools/test_fsdp2_mem_tracker.py	P1	2.9	Libo	distributed
test/distributed/_tools/test_mem_tracker.py	P1	2.9	Libo	distributed
test/distributed/_tools/test_memory_tracker.py	P1	2.9	Libo	distributed
test/distributed/_tools/test_mod_tracker.py	P1	2.9	Libo	distributed
test/distributed/_tools/test_runtime_estimator.py	P1	2.9	Libo	distributed
test/distributed/_tools/test_sac_estimator.py	P1	2.9	Libo	distributed
test/distributed/_tools/test_sac_ilp.py	P1	2.9	Libo	distributed
test/distributed/checkpoint/e2e/test_e2e_save_and_load.py	P1			distributed
test/distributed/checkpoint/e2e/test_fsdp_ep.py	P1			distributed
test/distributed/checkpoint/fsdp/test_fsdp_dsd.py	P1			distributed
test/distributed/checkpoint/test_checkpoint.py	P1			distributed
test/distributed/checkpoint/test_dedup_tensors.py	P1			distributed
test/distributed/checkpoint/test_file_system_checkpoint.py	P1			distributed
test/distributed/checkpoint/test_format_utils.py	P1			distributed
test/distributed/checkpoint/test_fsdp_optim_state.py	P1			distributed
test/distributed/checkpoint/test_nested_dict.py	P1			distributed
test/distributed/checkpoint/test_save_load_api.py	P1			distributed
test/distributed/flight_recorder/test_fr_analysis.py	P1			distributed
